Word: time, Uniqueness Value: 1568
Word: man, Uniqueness Value: 1160
Word: af, Uniqueness Value: 991
Word: way, Uniqueness Value: 882
Word: world, Uniqueness Value: 686
Word: life, Uniqueness Value: 678
Word: year, Uniqueness Value: 641
Word: day, Uniqueness Value: 627
Word: work, Uniqueness Value: 578
Word: state, Uniqueness Value: 528
Word: place, Uniqueness Value: 474
Word: part, Uniqueness Value: 471
Word: course, Uniqueness Value: 464
Word: number, Uniqueness Value: 462
Word: fact, Uniqueness Value: 446
Word: water, Uniqueness Value: 426
Word: school, Uniqueness Value: 413
Word: hand, Uniqueness Value: 413
Word: head, Uniqueness Value: 403
Word: night, Uniqueness Value: 400
Word: system, Uniqueness Value: 392
Word: house, Uniqueness Value: 388
Word: group, Uniqueness Value: 378
Word: program, Uniqueness Value: 367
Word: room, Uniqueness Value: 364
Word: side, Uniqueness Value: 363
Word: end, Uniqueness Value: 359
Word: business, Uniqueness Value: 359
Word: use, Uniqueness Value: 352
Word: case, Uniqueness Value: 349
Word: point, Uniqueness Value: 349
Word: order, Uniqueness Value: 342
Word: thing, Uniqueness Value: 326
Word: interest, Uniqueness Value: 323
Word: power, Uniqueness Value: 322
Word: face, Uniqueness Value: 319
Word: area, Uniqueness Value: 318
Word: family, Uniqueness Value: 314
Word: door, Uniqueness Value: 312
Word: country, Uniqueness Value: 311
Word: problem, Uniqueness Value: 309
Word: development, Uniqueness Value: 306
Word: war, Uniqueness Value: 301
Word: sense, Uniqueness Value: 300
Word: form, Uniqueness Value: 300
Word: kind, Uniqueness Value: 295
Word: action, Uniqueness Value: 289
Word: mind, Uniqueness Value: 287
Word: example, Uniqueness Value: 286
Word: matter, Uniqueness Value: 281
Word: line, Uniqueness Value: 281
Word: law, Uniqueness Value: 279
Word: history, Uniqueness Value: 273
Word: government, Uniqueness Value: 273
Word: body, Uniqueness Value: 272
Word: car, Uniqueness Value: 270
Word: death, Uniqueness Value: 265
Word: money, Uniqueness Value: 264
Word: word, Uniqueness Value: 263
Word: information, Uniqueness Value: 263
Word: period, Uniqueness Value: 263
Word: city, Uniqueness Value: 262
Word: experience, Uniqueness Value: 258
Word: week, Uniqueness Value: 257
Word: name, Uniqueness Value: 256
Word: light, Uniqueness Value: 253
Word: moment, Uniqueness Value: 244
Word: service, Uniqueness Value: 242
Word: field, Uniqueness Value: 242
Word: reason, Uniqueness Value: 237
Word: position, Uniqueness Value: 235
Word: boy, Uniqueness Value: 235
Word: job, Uniqueness Value: 233
Word: question, Uniqueness Value: 232
Word: wife, Uniqueness Value: 227
Word: church, Uniqueness Value: 222
Word: voice, Uniqueness Value: 220
Word: home, Uniqueness Value: 219
Word: company, Uniqueness Value: 218
Word: community, Uniqueness Value: 217
Word: policy, Uniqueness Value: 216
Word: air, Uniqueness Value: 216
Word: woman, Uniqueness Value: 216
Word: office, Uniqueness Value: 215
Word: age, Uniqueness Value: 214
Word: girl, Uniqueness Value: 211
Word: morning, Uniqueness Value: 210
Word: child, Uniqueness Value: 209
Word: rate, Uniqueness Value: 205
Word: evidence, Uniqueness Value: 203
Word: music, Uniqueness Value: 201
Word: study, Uniqueness Value: 200
Word: town, Uniqueness Value: 198
Word: result, Uniqueness Value: 197
Word: effect, Uniqueness Value: 197
Word: value, Uniqueness Value: 197
Word: situation, Uniqueness Value: 196
Word: level, Uniqueness Value: 195
Word: society, Uniqueness Value: 194
Word: land, Uniqueness Value: 193
Word: surface, Uniqueness Value: 193
Word: mother, Uniqueness Value: 192
Word: party, Uniqueness Value: 191
Word: idea, Uniqueness Value: 191
Word: process, Uniqueness Value: 191
Word: type, Uniqueness Value: 191
Word: nature, Uniqueness Value: 183
Word: basis, Uniqueness Value: 183
Word: century, Uniqueness Value: 183
Word: control, Uniqueness Value: 182
Word: tax, Uniqueness Value: 181
Word: pressure, Uniqueness Value: 181
Word: road, Uniqueness Value: 179
Word: attention, Uniqueness Value: 179
Word: art, Uniqueness Value: 179
Word: cost, Uniqueness Value: 177
Word: back, Uniqueness Value: 177
Word: center, Uniqueness Value: 176
Word: book, Uniqueness Value: 175
Word: education, Uniqueness Value: 174
Word: space, Uniqueness Value: 173
Word: force, Uniqueness Value: 173
Word: heart, Uniqueness Value: 171
Word: person, Uniqueness Value: 170
Word: stage, Uniqueness Value: 169
Word: ground, Uniqueness Value: 168
Word: board, Uniqueness Value: 166
Word: view, Uniqueness Value: 166
Word: material, Uniqueness Value: 166
Word: plan, Uniqueness Value: 164
Word: college, Uniqueness Value: 164
Word: class, Uniqueness Value: 164
Word: love, Uniqueness Value: 164
Word: spirit, Uniqueness Value: 162
Word: equipment, Uniqueness Value: 162
Word: father, Uniqueness Value: 162
Word: industry, Uniqueness Value: 161
Word: change, Uniqueness Value: 161
Word: picture, Uniqueness Value: 160
Word: fire, Uniqueness Value: 159
Word: floor, Uniqueness Value: 157
Word: sort, Uniqueness Value: 157
Word: cent, Uniqueness Value: 155
Word: need, Uniqueness Value: 155
Word: paper, Uniqueness Value: 152
Word: figure, Uniqueness Value: 151
Word: growth, Uniqueness Value: 150
Word: story, Uniqueness Value: 149
Word: property, Uniqueness Value: 148
Word: hair, Uniqueness Value: 148
Word: table, Uniqueness Value: 147
Word: difference, Uniqueness Value: 147
Word: street, Uniqueness Value: 147
Word: purpose, Uniqueness Value: 146
Word: production, Uniqueness Value: 146
Word: effort, Uniqueness Value: 145
Word: knowledge, Uniqueness Value: 145
Word: hour, Uniqueness Value: 145
Word: letter, Uniqueness Value: 142
Word: front, Uniqueness Value: 142
Word: son, Uniqueness Value: 141
Word: addition, Uniqueness Value: 141
Word: range, Uniqueness Value: 141
Word: statement, Uniqueness Value: 141
Word: amount, Uniqueness Value: 141
Word: section, Uniqueness Value: 140
Word: market, Uniqueness Value: 140
Word: stock, Uniqueness Value: 139
Word: wall, Uniqueness Value: 138
Word: research, Uniqueness Value: 137
Word: food, Uniqueness Value: 137
Word: population, Uniqueness Value: 135
Word: public, Uniqueness Value: 135
Word: rest, Uniqueness Value: 135
Word: peace, Uniqueness Value: 134
Word: size, Uniqueness Value: 133
Word: member, Uniqueness Value: 133
Word: future, Uniqueness Value: 132
Word: direction, Uniqueness Value: 132
Word: strength, Uniqueness Value: 132
Word: literature, Uniqueness Value: 132
Word: color, Uniqueness Value: 131
Word: summer, Uniqueness Value: 131
Word: feeling, Uniqueness Value: 131
Word: total, Uniqueness Value: 131
Word: husband, Uniqueness Value: 131
Word: trouble, Uniqueness Value: 130
Word: method, Uniqueness Value: 130
Word: month, Uniqueness Value: 130
Word: temperature, Uniqueness Value: 130
Word: issue, Uniqueness Value: 129
Word: top, Uniqueness Value: 129
Word: evening, Uniqueness Value: 128
Word: friend, Uniqueness Value: 128
Word: chance, Uniqueness Value: 127
Word: bed, Uniqueness Value: 127
Word: piece, Uniqueness Value: 127
Word: president, Uniqueness Value: 126
Word: theory, Uniqueness Value: 126
Word: sound, Uniqueness Value: 126
Word: degree, Uniqueness Value: 125
Word: defense, Uniqueness Value: 125
Word: list, Uniqueness Value: 125
Word: manner, Uniqueness Value: 124
Word: support, Uniqueness Value: 124
Word: movement, Uniqueness Value: 124
Word: lot, Uniqueness Value: 124
Word: treatment, Uniqueness Value: 124
Word: right, Uniqueness Value: 123
Word: record, Uniqueness Value: 123
Word: truth, Uniqueness Value: 123
Word: couple, Uniqueness Value: 122
Word: meeting, Uniqueness Value: 122
Word: freedom, Uniqueness Value: 122
Word: performance, Uniqueness Value: 122
Word: subject, Uniqueness Value: 121
Word: trade, Uniqueness Value: 121
Word: game, Uniqueness Value: 121
