Results for window size: 5

Word: action, Uniqueness Value: 347
Word: room, Uniqueness Value: 100
Word: m, Uniqueness Value: 75
Word: everyone, Uniqueness Value: 67
Word: anyone, Uniqueness Value: 62
Word: one, Uniqueness Value: 54
Word: time, Uniqueness Value: 50
Word: f, Uniqueness Value: 47
Word: song, Uniqueness Value: 42
Word: mode, Uniqueness Value: 37
Word: o, Uniqueness Value: 36
Word: girl, Uniqueness Value: 35
Word: night, Uniqueness Value: 32
Word: nick, Uniqueness Value: 31
Word: something, Uniqueness Value: 31
Word: day, Uniqueness Value: 30
Word: someone, Uniqueness Value: 29
Word: pic, Uniqueness Value: 27
Word: name, Uniqueness Value: 25
Word: music, Uniqueness Value: 23
Word: pm, Uniqueness Value: 22
Word: guy, Uniqueness Value: 22
Word: life, Uniqueness Value: 22
Word: way, Uniqueness Value: 21
Word: phone, Uniqueness Value: 20
Word: work, Uniqueness Value: 20
Word: hell, Uniqueness Value: 19
Word: nothing, Uniqueness Value: 19
Word: mp3, Uniqueness Value: 18
Word: female, Uniqueness Value: 17
Word: back, Uniqueness Value: 17
Word: hair, Uniqueness Value: 17
Word: thing, Uniqueness Value: 17
Word: ass, Uniqueness Value: 16
Word: man, Uniqueness Value: 16
Word: question, Uniqueness Value: 16
Word: love, Uniqueness Value: 16
Word: today, Uniqueness Value: 15
