Results for window size: 2

Word: action, Uniqueness Value: 342
Word: room, Uniqueness Value: 100
Word: m, Uniqueness Value: 75
Word: everyone, Uniqueness Value: 66
Word: anyone, Uniqueness Value: 61
Word: one, Uniqueness Value: 54
Word: time, Uniqueness Value: 50
Word: f, Uniqueness Value: 47
Word: song, Uniqueness Value: 36
Word: girl, Uniqueness Value: 35
Word: night, Uniqueness Value: 32
Word: nick, Uniqueness Value: 31
Word: something, Uniqueness Value: 31
Word: mode, Uniqueness Value: 31
Word: day, Uniqueness Value: 30
Word: o, Uniqueness Value: 30
Word: someone, Uniqueness Value: 29
Word: pic, Uniqueness Value: 27
Word: name, Uniqueness Value: 25
Word: music, Uniqueness Value: 23
Word: pm, Uniqueness Value: 22
Word: guy, Uniqueness Value: 22
Word: life, Uniqueness Value: 22
Word: way, Uniqueness Value: 21
Word: work, Uniqueness Value: 20
Word: teacher, Uniqueness Value: 7
Word: charm, Uniqueness Value: 1
Word: peanut, Uniqueness Value: 1
