Results for window size: 1

Word: action, Uniqueness Value: 325
Word: room, Uniqueness Value: 100
Word: m, Uniqueness Value: 74
Word: everyone, Uniqueness Value: 65
Word: anyone, Uniqueness Value: 61
Word: one, Uniqueness Value: 53
Word: time, Uniqueness Value: 50
Word: f, Uniqueness Value: 44
Word: girl, Uniqueness Value: 35
Word: nick, Uniqueness Value: 31
Word: night, Uniqueness Value: 31
Word: something, Uniqueness Value: 31
Word: day, Uniqueness Value: 30
Word: someone, Uniqueness Value: 29
Word: pic, Uniqueness Value: 26
Word: name, Uniqueness Value: 25
Word: mode, Uniqueness Value: 23
Word: life, Uniqueness Value: 22
Word: way, Uniqueness Value: 21
Word: work, Uniqueness Value: 20
Word: word, Uniqueness Value: 8
Word: teacher, Uniqueness Value: 7
Word: color, Uniqueness Value: 5
Word: choice, Uniqueness Value: 4
Word: construction, Uniqueness Value: 3
Word: field, Uniqueness Value: 3
Word: wax, Uniqueness Value: 3
Word: sea, Uniqueness Value: 3
Word: hardware, Uniqueness Value: 2
Word: mouse, Uniqueness Value: 2
Word: chip, Uniqueness Value: 2
Word: thingy, Uniqueness Value: 2
Word: two, Uniqueness Value: 2
Word: td, Uniqueness Value: 2
Word: whore, Uniqueness Value: 2
Word: denial, Uniqueness Value: 2
Word: blunt, Uniqueness Value: 1
Word: warning, Uniqueness Value: 1
Word: deal, Uniqueness Value: 1
Word: development, Uniqueness Value: 1
Word: identity, Uniqueness Value: 1
Word: help, Uniqueness Value: 1
Word: crop, Uniqueness Value: 1
Word: puddle, Uniqueness Value: 1
Word: nut, Uniqueness Value: 1
Word: knee, Uniqueness Value: 1
Word: none, Uniqueness Value: 1
Word: freak, Uniqueness Value: 1
Word: chatland, Uniqueness Value: 1
Word: wood, Uniqueness Value: 1
Word: handy, Uniqueness Value: 1
Word: butter, Uniqueness Value: 1
Word: resident, Uniqueness Value: 1
Word: pope, Uniqueness Value: 1
Word: vinyl, Uniqueness Value: 1
Word: registration, Uniqueness Value: 1
Word: washboard, Uniqueness Value: 1
Word: relation, Uniqueness Value: 1
Word: conversion, Uniqueness Value: 1
Word: picture, Uniqueness Value: 1
Word: shore, Uniqueness Value: 1
Word: mess, Uniqueness Value: 1
Word: whereabouts, Uniqueness Value: 1
